1;Pellegrini 2100;-36.7968357667119;-59.887761675401606;
2;Rubén César De Paula 2082;-36.786861263647886;-59.872172356904294;
3;Pellegrini 2137;-36.797772804872565;-59.888456360597466;
4;Serapio 370;-36.79677622067302;-59.88806717409173;
5;Rivadavia 2039;-36.79566046420833;-59.887340988896284;
6;Abeberry 452;-36.79372899807069;-59.88169163176232;
7;Daharampe 417;-36.79302028856281;-59.88185402991571;
8;Avenida Pellegrini 1729;-36.79173557837551;-59.880981174091964;
9;Avenida Pellegrini 1629;-36.790372124508906;-59.87933368943295;
10;Avenida Pellegrini 1461;-36.78824560441149;-59.8768895489505;
11;Avenida Pellegrini 1311;-36.78619623828139;-59.87475342011527;
12;Avenida Pellegrini 1205;-36.78490176474618;-59.87315050477433;
13;Burgos 1110;-36.78419461047607;-59.870862206087146;
14;Burgos 1011;-36.78304279449508;-59.86914404710395;
15;Burgos 917;-36.78180600748058;-59.86750320292754;
16;Burgos 807;-36.780154088989896;-59.865716245257055;
17;Burgos 707;-36.77879722676074;-59.864298660598166;
18;Burgos 563;-36.776972630808565;-59.862026260598356;
19;Burgos 405;-36.77486606006966;-59.859296629916415;
20;Burgos 305;-36.77349846405075;-59.85787866244514;
21;Colón 390;-36.77423307770696;-59.85936086244519;
22;Colón 504;-36.7758390191338;-59.86136486059827;
23;Colón 596;-36.77714138978675;-59.862888175939446;
24;Colón 745;-36.77934369423046;-59.8646615875866;
25;Colón 840;-36.77965511648313;-59.86717298890023;
26;Colón 942;-36.781181008233375;-59.86892264428095;
27;Avenida Pellegrini 1095;-36.783302137889194;-59.871257834922595;
28;Avenida Pellegrini 1250;-36.78521585076056;-59.873844418268405;
29;Avenida Pellegrini 1393;-36.7873509336042;-59.875618374092255;
30;Formosa 426;-36.789320461806014;-59.87780527409205;
31;Avenida Pellegrini 1641;-36.790666944624185;-59.879688474092056;
32;Avenida Pellegrini 1735;-36.791778911146444;-59.881039645256635;
33;Avenida Pellegrini 1841;-36.793011546772206;-59.88265258758601;
34;Pellegrini 2010;-36.7955524044088;-59.88637077593849;
35;Hipólito Yrigoyen X Av. Canerva;-36.78469592024087;-59.853325563607456;
36;Avenida Piazza 1100;-36.78460093327934;-59.84974760608694;
37;Constitución 403;-36.7842550968054;-59.84727123176275;
38;Constitución 307;-36.78306643695592;-59.84577200292744;
39;Comercio 254;-36.783329137946914;-59.84352891958141;
