1;2;60;1;
2;3;120;1;
3;4;30;1;
4;5;90;1;
5;6;90;1;
6;7;90;1
7;8;30;1;
8;9;60;1;
9;10;60;1;
10;11;60;1;
11;12;30;1;
12;13;60;1;
13;14;30;1;
14;15;30;1;
15;16;30;1;
16;17;30;1;
17;18;60;1;
18;19;60;1;
19;20;30;1;
20;21;60;1;
21;22;30;1;
22;23;30;1;
23;24;60;1;
24;25;30;1;
25;26;30;1;
26;27;60;1;
27;28;60;1;
28;29;60;1;
29;30;30;1;
30;31;30;1;
31;32;30;1;
32;33;30;1;
33;34;120;1;
34;1;30;1;
35;36;90;1;
36;37;60;1;
37;38;30;1;
38;39;60;1;
39;40;30;1;
40;41;30;1;
41;42;30;1;
42;43;30;1;
43;44;30;1;
44;45;30;1;
45;46;30;1;
46;47;60;1;
47;48;60;1;
48;49;30;1;
49;50;30;1;
50;51;90;1;
51;52;180;1;
52;53;120;1;
53;54;90;1;
54;55;90;1;
55;56;60;1;
56;218;90;1;
56;57;60;1;
57;58;60;1;
58;59;30;1;
59;60;30;1;
60;61;30;1;
61;62;30;1;
62;63;30;1;
63;64;60;1;
64;65;30;1;
65;66;30;1;
66;67;180;1;
67;68;30;1;
68;69;30;1;
69;70;30;1;
70;71;30;1;
71;72;30;1;
72;73;30;1;
73;74;30;1;
74;75;90;1;
75;76;60;1;
76;77;120;1;
77;78;90;1;
78;79;90;1;
79;80;90;1;
80;81;90;1;
81;82;30;1;
82;83;180;1;
83;84;60;1;
84;85;120;1;
85;86;30;1;
86;87;30;1;
87;88;30;1;
88;89;60;1;
89;90;120;1;
90;91;60;1;
91;92;180;1;
92;93;60;1;
93;94;60;1;
94;95;120;1;
95;96;60;1;
96;97;30;1;
97;98;60;1;
98;99;60;1;
99;100;60;1;
100;101;180;1;
101;102;60;1;
102;21;30;1;
23;103;240;1;
103;104;60;1;
104;105;60;1;
105;106;120;1;
106;35;30;1;
107;108;30;1;
108;109;60;1;
109;110;60;1;
110;111;30;1;
111;112;30;1;
112;113;90;1;
113;114;60;1;
114;115;60;1;
115;116;60;1;
116;117;30;1;
117;118;60;1;
118;119;60;1;
119;120;60;1;
120;121;90;1;
121;122;90;1;
122;123;60;1;
123;124;30;1;
124;125;60;1;
125;126;60;1;
126;127;120;1;
127;128;90;1;
128;129;60;1;
129;130;60;1;
130;131;60;1;
131;132;90;1;
132;133;60;1;
133;134;120;1;
134;135;60;1;
135;136;60;1;
136;137;60;1;
137;138;60;1;
138;139;60;1;
139;140;60;1;
140;141;30;1;
141;142;60;1;
142;143;60;1;
143;144;90;1;
144;145;60;1;
145;146;90;1;
146;147;60;1;
147;148;30;1;
148;149;30;1;
149;150;60;1;
150;151;60;1;
151;152;120;1;
152;153;60;1;
153;154;90;1;
154;155;120;1;
155;156;90;1;
156;157;90;1;
157;152;90;1;
152;158;45;1;
158;159;45;1;
159;160;45;1;
160;161;45;1;
161;162;30;1;
162;163;30;1;
163;145;30;1;
145;164;45;1;
164;165;45;1;
165;166;30;1;
166;167;30;1;
167;168;45;1;
168;140;45;1;
140;169;30;1;
169;170;30;1;
170;171;45;1;
171;172;30;1;
172;173;45;1;
173;174;45;1;
174;175;45;1;
175;176;60;1;
176;177;60;1;
177;178;45;1;
178;179;45;1;
179;180;45;1;
180;181;45;1;
181;182;60;1;
182;183;60;1;
183;184;45;1;
184;185;60;1;
185;186;60;1;
186;187;60;1;
187;188;45;1;
188;189;60;1;
189;190;60;1;
190;191;45;1;
191;192;60;1;
192;193;45;1;
193;194;60;1;
194;195;60;1;
195;196;45;1;
196;197;60;1;
197;198;60;1;
198;199;45;1;
199;200;60;1;
200;201;60;1;
201;202;45;1;
202;203;60;1;
203;204;45;1;
205;107;90;1;
107;206;120;1;
206;110;60;1;
